[2026-02-20-00:00:10] ORP=574mV | 反應器壓力=1.90kg/cm² | 酸鹼值=pH 7.15 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.39%
[2026-02-20-06:10:22] ORP=561mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.37%
[2026-02-20-06:11:20] ORP=577mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.15 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.39%
[2026-02-20-06:12:20] ORP=561mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.39%
[2026-02-20-06:13:21] ORP=594mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.39%
[2026-02-20-06:14:20] ORP=579mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.15 | 溫度=30.0°C | 混合槽壓力=0.73kg/cm² | CO2濃度=0.0% | CH4濃度=0.40%
[2026-02-20-06:15:20] ORP=559mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.15 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.39%
[2026-02-20-06:16:21] ORP=600mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.73kg/cm² | CO2濃度=0.0% | CH4濃度=0.38%
[2026-02-20-06:17:20] ORP=596mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.73kg/cm² | CO2濃度=0.0% | CH4濃度=0.39%
[2026-02-20-06:18:20] ORP=588mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.15 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.40%
[2026-02-20-06:19:22] ORP=599mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.73kg/cm² | CO2濃度=0.0% | CH4濃度=0.39%
[2026-02-20-06:20:20] ORP=579mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.17 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.39%
[2026-02-20-06:21:22] ORP=579mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.38%
[2026-02-20-06:22:22] ORP=579mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.39%
[2026-02-20-06:23:20] ORP=580mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.39%
[2026-02-20-06:24:20] ORP=581mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.40%
[2026-02-20-06:25:22] ORP=580mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.17 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.39%
[2026-02-20-06:26:20] ORP=580mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.17 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.38%
[2026-02-20-06:27:22] ORP=581mV | 反應器壓力=1.88kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.75kg/cm² | CO2濃度=0.0% | CH4濃度=0.38%
[2026-02-20-06:28:21] ORP=571mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.40%
[2026-02-20-06:29:20] ORP=566mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.75kg/cm² | CO2濃度=0.0% | CH4濃度=0.39%
[2026-02-20-06:30:22] ORP=558mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.75kg/cm² | CO2濃度=0.0% | CH4濃度=0.40%
[2026-02-20-06:31:22] ORP=570mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.75kg/cm² | CO2濃度=0.0% | CH4濃度=0.39%
[2026-02-20-06:32:20] ORP=592mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.40%
[2026-02-20-06:33:22] ORP=570mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.39%
[2026-02-20-06:34:20] ORP=565mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.75kg/cm² | CO2濃度=0.0% | CH4濃度=0.38%
[2026-02-20-06:35:21] ORP=583mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.38%
[2026-02-20-06:36:22] ORP=593mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.39%
[2026-02-20-06:37:20] ORP=580mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.38%
[2026-02-20-06:38:20] ORP=598mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.75kg/cm² | CO2濃度=0.0% | CH4濃度=0.38%
[2026-02-20-06:39:22] ORP=599mV | 反應器壓力=1.88kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.75kg/cm² | CO2濃度=0.0% | CH4濃度=0.38%
[2026-02-20-06:40:20] ORP=560mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.38%
[2026-02-20-06:41:20] ORP=591mV | 反應器壓力=1.88kg/cm² | 酸鹼值=pH 7.15 | 溫度=30.0°C | 混合槽壓力=0.75kg/cm² | CO2濃度=0.0% | CH4濃度=0.39%
[2026-02-20-06:42:20] ORP=559mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.39%
[2026-02-20-06:43:22] ORP=600mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.39%
[2026-02-20-06:44:22] ORP=580mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.39%
[2026-02-20-06:45:21] ORP=567mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.40%
[2026-02-20-06:46:22] ORP=560mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.38%
[2026-02-20-06:47:22] ORP=599mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.38%
[2026-02-20-06:48:22] ORP=557mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.15 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.39%
[2026-02-20-06:49:22] ORP=560mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.15 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.38%
[2026-02-20-06:50:22] ORP=576mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.39%
[2026-02-20-06:51:21] ORP=564mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.39%
[2026-02-20-06:52:23] ORP=562mV | 反應器壓力=1.88kg/cm² | 酸鹼值=pH 7.15 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.39%
[2026-02-20-06:53:23] ORP=598mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.73kg/cm² | CO2濃度=0.0% | CH4濃度=0.38%
[2026-02-20-06:54:21] ORP=571mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.73kg/cm² | CO2濃度=0.0% | CH4濃度=0.38%
[2026-02-20-06:55:22] ORP=589mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.38%
[2026-02-20-06:56:22] ORP=564mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.15 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.38%
[2026-02-20-06:57:23] ORP=558mV | 反應器壓力=1.88kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.38%
[2026-02-20-06:58:22] ORP=600mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.15 | 溫度=30.0°C | 混合槽壓力=0.73kg/cm² | CO2濃度=0.0% | CH4濃度=0.39%
[2026-02-20-06:59:23] ORP=586mV | 反應器壓力=1.88kg/cm² | 酸鹼值=pH 7.15 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.40%
[2026-02-20-07:00:22] ORP=580mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.17 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.39%
[2026-02-20-07:01:22] ORP=579mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.17 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.39%
[2026-02-20-07:02:23] ORP=579mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.17 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.39%
[2026-02-20-07:03:21] ORP=579mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.17 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.40%
[2026-02-20-07:04:23] ORP=579mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.39%
[2026-02-20-07:05:22] ORP=581mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.39%
[2026-02-20-07:06:23] ORP=580mV | 反應器壓力=1.88kg/cm² | 酸鹼值=pH 7.18 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.38%
[2026-02-20-07:07:21] ORP=558mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.75kg/cm² | CO2濃度=0.0% | CH4濃度=0.39%
[2026-02-20-07:08:23] ORP=592mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.17 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.39%
[2026-02-20-07:09:23] ORP=599mV | 反應器壓力=1.88kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.38%
[2026-02-20-07:10:21] ORP=598mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.38%
[2026-02-20-07:11:23] ORP=559mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.75kg/cm² | CO2濃度=0.0% | CH4濃度=0.39%
[2026-02-20-07:12:22] ORP=566mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.75kg/cm² | CO2濃度=0.0% | CH4濃度=0.39%
[2026-02-20-07:13:21] ORP=561mV | 反應器壓力=1.88kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.39%
[2026-02-20-07:14:23] ORP=562mV | 反應器壓力=1.88kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.39%
[2026-02-20-07:15:22] ORP=557mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.40%
[2026-02-20-07:16:21] ORP=576mV | 反應器壓力=1.88kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.39%
[2026-02-20-07:17:22] ORP=595mV | 反應器壓力=1.88kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.38%
[2026-02-20-07:18:23] ORP=598mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.39%
[2026-02-20-07:19:22] ORP=568mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.39%
[2026-02-20-07:20:22] ORP=573mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.38%
[2026-02-20-07:21:24] ORP=560mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.15 | 溫度=30.0°C | 混合槽壓力=0.73kg/cm² | CO2濃度=0.0% | CH4濃度=0.39%
[2026-02-20-07:22:24] ORP=561mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.15 | 溫度=30.0°C | 混合槽壓力=0.73kg/cm² | CO2濃度=0.0% | CH4濃度=0.39%
[2026-02-20-07:23:22] ORP=558mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.15 | 溫度=30.0°C | 混合槽壓力=0.75kg/cm² | CO2濃度=0.0% | CH4濃度=0.39%
[2026-02-20-07:24:23] ORP=561mV | 反應器壓力=1.88kg/cm² | 酸鹼值=pH 7.15 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.39%
[2026-02-20-07:25:24] ORP=587mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.39%
[2026-02-20-07:26:22] ORP=595mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.73kg/cm² | CO2濃度=0.0% | CH4濃度=0.39%
[2026-02-20-07:27:24] ORP=584mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.39%
[2026-02-20-07:28:23] ORP=579mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.15 | 溫度=30.0°C | 混合槽壓力=0.73kg/cm² | CO2濃度=0.0% | CH4濃度=0.40%
[2026-02-20-07:29:22] ORP=586mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.38%
[2026-02-20-07:30:23] ORP=597mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.15 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.39%
[2026-02-20-07:31:23] ORP=582mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.39%
[2026-02-20-07:32:22] ORP=587mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.40%
[2026-02-20-07:33:22] ORP=564mV | 反應器壓力=1.88kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.73kg/cm² | CO2濃度=0.0% | CH4濃度=0.39%
[2026-02-20-07:34:24] ORP=597mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.15 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.40%
[2026-02-20-07:35:22] ORP=564mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.73kg/cm² | CO2濃度=0.0% | CH4濃度=0.39%
[2026-02-20-07:36:22] ORP=572mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.39%
[2026-02-20-07:37:22] ORP=558mV | 反應器壓力=1.88kg/cm² | 酸鹼值=pH 7.15 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.40%
[2026-02-20-07:38:23] ORP=587mV | 反應器壓力=1.88kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.39%
[2026-02-20-07:39:22] ORP=580mV | 反應器壓力=1.88kg/cm² | 酸鹼值=pH 7.17 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.38%
[2026-02-20-07:40:22] ORP=580mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.17 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.38%
[2026-02-20-07:41:23] ORP=580mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.17 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.38%
[2026-02-20-07:42:24] ORP=579mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.17 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.39%
[2026-02-20-07:43:22] ORP=581mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.17 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.39%
[2026-02-20-07:44:24] ORP=580mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.17 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.38%
[2026-02-20-07:45:23] ORP=581mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.17 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.39%
[2026-02-20-07:46:22] ORP=559mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.17 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.39%
[2026-02-20-07:47:22] ORP=586mV | 反應器壓力=1.88kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.39%
[2026-02-20-07:48:24] ORP=597mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.39%
[2026-02-20-07:49:25] ORP=560mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.75kg/cm² | CO2濃度=0.0% | CH4濃度=0.38%
[2026-02-20-07:50:22] ORP=600mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.39%
[2026-02-20-07:51:23] ORP=593mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.39%
[2026-02-20-07:52:24] ORP=579mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.39%
[2026-02-20-07:53:23] ORP=589mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.38%
[2026-02-20-07:54:23] ORP=559mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.75kg/cm² | CO2濃度=0.0% | CH4濃度=0.38%
[2026-02-20-07:55:24] ORP=601mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.39%
[2026-02-20-07:56:23] ORP=562mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.75kg/cm² | CO2濃度=0.0% | CH4濃度=0.39%
[2026-02-20-07:57:24] ORP=567mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.75kg/cm² | CO2濃度=0.0% | CH4濃度=0.39%
[2026-02-20-07:58:24] ORP=576mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.75kg/cm² | CO2濃度=0.0% | CH4濃度=0.38%
[2026-02-20-07:59:23] ORP=580mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.38%
[2026-02-20-08:05:23] ORP=570mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.39%
[2026-02-20-08:06:24] ORP=582mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.39%
[2026-02-20-08:07:25] ORP=600mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.15 | 溫度=30.0°C | 混合槽壓力=0.73kg/cm² | CO2濃度=0.0% | CH4濃度=0.39%
[2026-02-20-08:08:23] ORP=570mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.15 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.38%
[2026-02-20-08:09:25] ORP=568mV | 反應器壓力=1.88kg/cm² | 酸鹼值=pH 7.15 | 溫度=30.0°C | 混合槽壓力=0.73kg/cm² | CO2濃度=0.0% | CH4濃度=0.39%
[2026-02-20-08:10:24] ORP=600mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.39%
[2026-02-20-08:11:23] ORP=573mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.15 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.39%
[2026-02-20-08:12:23] ORP=591mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.38%
[2026-02-20-08:13:25] ORP=588mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.39%
[2026-02-20-08:14:24] ORP=583mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.38%
[2026-02-20-08:15:24] ORP=598mV | 反應器壓力=1.88kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.38%
[2026-02-20-08:16:23] ORP=588mV | 反應器壓力=1.88kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.73kg/cm² | CO2濃度=0.0% | CH4濃度=0.39%
[2026-02-20-08:17:24] ORP=580mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.16 | 溫度=30.0°C | 混合槽壓力=0.73kg/cm² | CO2濃度=0.0% | CH4濃度=0.39%
[2026-02-20-08:18:25] ORP=575mV | 反應器壓力=1.88kg/cm² | 酸鹼值=pH 7.15 | 溫度=30.0°C | 混合槽壓力=0.73kg/cm² | CO2濃度=0.0% | CH4濃度=0.39%
[2026-02-20-08:19:25] ORP=580mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.17 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.39%
[2026-02-20-08:20:23] ORP=579mV | 反應器壓力=1.89kg/cm² | 酸鹼值=pH 7.17 | 溫度=30.0°C | 混合槽壓力=0.74kg/cm² | CO2濃度=0.0% | CH4濃度=0.39%
